ID;gemeentecode;Voorraadwoningen;Nieuwbouwwoningen;Woningdichtheid;Bedrijven;Restaurants3km
9201;GM0923;;;;;
9227;GM1507;17610;69;93;3565;     6.8
9253;GM0321;20032;192;365;4585;    18.3
9279;GM0803;;;;;
9305;GM0255;;;;;
9331;GM0406;18833;6;1192;4200;    31.7
9357;GM0677;13384;126;66;2100;    12.5
9383;GM0256;;;;;
9409;GM0925;;;;;
9435;GM0195;;;;;
9461;GM0191;;;;;
9487;GM0353;14344;26;681;2950;    23.8
9513;GM0645;;;;;
9539;GM1884;11294;189;179;2815;     7.0
9565;GM0166;21843;231;154;4310;    24.3
9591;GM0678;5317;34;143;1140;     3.1
9617;GM0537;26329;389;1064;4415;    24.9
9643;GM0928;23904;58;1091;2555;    17.9
9669;GM0257;;;;;
9695;GM0929;;;;;
9721;GM0258;;;;;
9747;GM0804;;;;;
9773;GM1598;9291;118;116;2375;     2.4
9799;GM0079;5524;17;50;1125;     2.9
9825;GM0588;4595;96;60;995;     0.6
9851;GM0542;12451;80;1620;2145;    17.3
9877;GM1931;23569;248;159;5490;     4.9
9903;GM1659;9318;143;168;2075;     7.7
9929;GM1685;6126;167;87;1575;     6.6
9955;GM0882;18128;19;737;2030;    17.7
9981;GM0415;4835;24;215;1375;    12.4
10007;GM0325;;;;;
10033;GM0416;11467;88;480;2475;     9.4
10059;GM1621;23565;198;441;6160;    16.3
10085;GM0417;5269;2;425;1905;    31.4
10111;GM0022;8614;238;136;1745;     7.9
10137;GM0805;;;;;
10163;GM0545;8875;160;263;1595;    14.0
10189;GM0326;;;;;
10215;GM0080;60905;446;255;9745;    65.3
10241;GM0081;;;;;
10267;GM0546;58079;691;2651;9950;   143.1
10293;GM0547;12118;0;1047;2055;    37.6
10319;GM0548;;;;;
10345;GM1916;36481;217;1121;5900;    80.4
10371;GM0995;32767;121;142;6355;    27.4
10397;GM0082;;;;;
10423;GM1640;15745;92;97;3100;     4.8
10449;GM0327;12637;243;216;2935;    13.2
10475;GM0260;;;;;
10501;GM1673;;;;;
10527;GM0806;;;;;
10553;GM0261;;;;;
10579;GM0552;;;;;
10605;GM0807;;;;;
10631;GM0694;;;;;
10657;GM0418;;;;;
10683;GM0733;4594;65;91;1120;     5.2
10709;GM1705;19646;121;317;3600;     8.0
10735;GM0553;10049;153;640;2065;    25.5
10761;GM0808;;;;;
10787;GM0140;;;;;
10813;GM0262;14916;90;70;3535;     8.7
10839;GM0329;;;;;
10865;GM0809;10209;123;204;2135;    11.1
10891;GM0330;;;;;
10917;GM0331;5581;76;74;1600;     2.3
10943;GM0024;4687;25;42;850;     2.1
10969;GM0168;9712;51;98;1755;     7.1
10995;GM0810;;;;;
11021;GM0811;;;;;
11047;GM0332;;;;;
11073;GM0333;;;;;
11099;GM0334;;;;;
11125;GM0933;;;;;
11151;GM0934;;;;;
11177;GM1671;;;;;
11203;GM0263;9830;111;149;3135;     5.1
11229;GM1641;10678;26;234;2110;     5.9
11255;GM0555;;;;;
11281;GM0556;15058;139;1776;2125;    21.5
11307;GM0935;61955;94;1107;9330;   114.8
11333;GM1665;;;;;
11359;GM0812;;;;;
11385;GM0936;;;;;
11411;GM0686;;;;;
11437;GM0169;;;;;
11463;GM1663;5208;5;31;985;     2.9
11489;GM0025;4396;49;68;970;     3.2
11515;GM0264;;;;;
11541;GM0420;18774;173;155;4680;     7.5
11567;GM0993;;;;;
11593;GM0938;8587;5;319;1500;    10.9
11619;GM1948;33475;414;182;8105;    15.5
11645;GM0941;;;;;
11671;GM0083;;;;;
11697;GM1908;;;;;
11723;GM1987;;;;;
11749;GM0119;15586;83;281;2655;    19.6
11775;GM0687;23349;147;482;3475;    37.5
11801;GM0559;;;;;
11827;GM1842;7836;56;166;1860;    34.9
11853;GM1731;14304;56;42;2945;     4.9
11879;GM1952;28025;139;100;4150;     9.6
11905;GM0688;;;;;
11931;GM1697;;;;;
11957;GM0814;;;;;
11983;GM0815;4531;21;87;1060;     2.9
12009;GM0265;;;;;
12035;GM1709;16340;69;103;3700;     6.7
12061;GM0816;;;;;
12087;GM1978;;;;;
12113;GM1927;11206;39;95;2670;     3.4
12139;GM0562;;;;;
12165;GM1955;15525;218;147;2975;     8.8
12191;GM0335;5730;1;153;1435;     6.8
12217;GM0944;3617;12;208;690;     7.5
12243;GM0563;;;;;
12269;GM0424;;;;;
12295;GM0565;;;;;
12321;GM0425;;;;;
12347;GM1740;8625;110;144;2380;     3.9
12373;GM0426;;;;;
12399;GM0643;;;;;
12425;GM0946;7337;50;73;1860;     5.6
12451;GM0266;;;;;
12477;GM0304;4898;80;74;1520;     0.5
12503;GM0412;;;;;
12529;GM0356;28495;218;1212;5200;    29.3
12555;GM0567;;;;;
12581;GM0817;;;;;
12607;GM0569;11298;68;145;3030;     4.8
12633;GM0571;;;;;
12659;GM0170;;;;;
12685;GM0818;;;;;
12711;GM0104;;;;;
12737;GM0121;;;;;
12763;GM0267;16669;312;240;4400;    14.8
12789;GM0268;79474;1092;1498;13385;    76.6
12815;GM1930;38832;213;528;4655;    20.5
12841;GM1970;;;;;
12867;GM1695;4394;29;51;870;     5.5
12893;GM1699;14649;56;73;2645;     8.1
12919;GM0529;;;;;
12945;GM0171;19786;279;43;4810;     6.9
12971;GM0575;12389;130;346;2890;    45.7
12997;GM0576;7115;36;315;1690;    17.1
13023;GM0577;;;;;
13049;GM0120;;;;;
13075;GM0820;10131;39;301;2380;    19.1
13101;GM0302;10611;199;82;2590;    18.7
13127;GM0951;6956;59;210;1275;     7.8
13153;GM0429;;;;;
13179;GM0122;;;;;
13205;GM0579;10475;219;1434;1795;    28.7
13231;GM0823;7728;94;76;2110;    10.6
13257;GM0824;11439;93;179;3085;    25.9
13283;GM1895;18382;111;81;2660;    11.5
13309;GM0269;9202;51;94;2015;     3.1
13335;GM0173;14402;57;668;2580;    24.3
13361;GM0174;;;;;
13387;GM1773;7613;57;67;1505;     6.8
13413;GM0175;7289;139;41;1710;     9.9
13439;GM0881;3655;4;173;515;     6.9
13465;GM1586;12787;63;116;2660;     6.4
13491;GM0825;;;;;
13517;GM0692;;;;;
13543;GM0123;;;;;
13569;GM0826;24665;434;345;4960;    33.2
13595;GM0580;;;;;
13621;GM0085;11247;26;50;2225;     5.8
13647;GM0431;4093;6;355;925;     9.9
13673;GM0176;;;;;
13699;GM0432;4747;31;114;1225;     4.0
13725;GM0086;13009;81;58;2720;     2.8
13751;GM0828;39505;333;242;7995;    31.8
13777;GM0829;;;;;
13803;GM0831;;;;;
13829;GM0584;10187;119;544;2090;    22.1
13855;GM1509;17267;104;127;3280;     6.1
13881;GM0830;;;;;
13907;GM0437;5897;107;245;1970;    20.8
13933;GM0644;;;;;
13959;GM0589;4315;20;111;1275;     4.9
13985;GM1734;19486;237;178;4365;     7.1
14011;GM0590;14331;40;1522;2325;    14.9
14037;GM1894;18151;147;114;3660;     8.0
14063;GM0124;;;;;
14089;GM0765;5755;6;117;680;     3.8
14115;GM0594;;;;;
14141;GM1926;20810;334;561;4470;    15.0
