"ID";"RegioS";"Perioden";"Bevolkingsgroei_79";"Woningdichtheid_93";"GemiddeldeWoningwaarde_99";"ParticuliereHuishoudensExclStudenten_122";"Werkloosheid_155";"AantalHuisartsenpraktijkenBinnen3Km_210";"AfstandTotOpenbaarGroen_231";"AfstandTotOpritHoofdverkeersweg_232";"AfstandTotTreinstation_233"
"4703";"GM0110";"2018JJ00";"";"";"";"";"";"";"";"";""
"4729";"GM0148";"2018JJ00";"     257";"      70";"     272";"    47.1";"     310";"     1.3";"       .";"     1.2";"     6.7"
"4755";"GM0065";"2018JJ00";"";"";"";"";"";"";"";"";""
"4781";"GM1891";"2018JJ00";"      19";"      96";"     174";"    39.5";"     250";"     1.7";"       .";"     2.4";"     4.6"
"4807";"GM0503";"2018JJ00";"     910";"    2201";"     191";"    39.0";"    1200";"    15.4";"       .";"     1.3";"     1.6"
"4833";"GM0010";"2018JJ00";"    -147";"      92";"     126";"    36.7";"     390";"     1.5";"       .";"     1.3";"     3.9"
"4859";"GM0149";"2018JJ00";"";"";"";"";"";"";"";"";""
"4885";"GM0762";"2018JJ00";"     225";"     117";"     252";"    44.4";"     440";"     5.7";"       .";"     2.0";"     3.4"
"4911";"GM0150";"2018JJ00";"     304";"     342";"     194";"    40.1";"    1690";"     7.1";"       .";"     1.6";"     2.3"
"4937";"GM0218";"2018JJ00";"";"";"";"";"";"";"";"";""
"4963";"GM0384";"2018JJ00";"    1075";"    1095";"     235";"    42.8";"     440";"     7.4";"       .";"     1.2";"     1.0"
"4989";"GM0151";"2018JJ00";"";"";"";"";"";"";"";"";""
"5015";"GM0152";"2018JJ00";"";"";"";"";"";"";"";"";""
"5041";"GM0763";"2018JJ00";"";"";"";"";"";"";"";"";""
"5067";"GM0111";"2018JJ00";"";"";"";"";"";"";"";"";""
"5093";"GM1774";"2018JJ00";"      59";"      61";"     254";"    49.4";"     320";"     1.5";"       .";"     1.1";"    10.1"
"5119";"GM0764";"2018JJ00";"";"";"";"";"";"";"";"";""
"5145";"GM0219";"2018JJ00";"";"";"";"";"";"";"";"";""
"5171";"GM0504";"2018JJ00";"";"";"";"";"";"";"";"";""
"5197";"GM0220";"2018JJ00";"";"";"";"";"";"";"";"";""
"5223";"GM0221";"2018JJ00";"    -180";"     458";"     190";"    38.6";"     160";"     2.9";"       .";"     1.2";"     6.4"
"5249";"GM0222";"2018JJ00";"     173";"     324";"     194";"    41.2";"     800";"     5.0";"       .";"     1.6";"     2.0"
"5275";"GM0660";"2018JJ00";"";"";"";"";"";"";"";"";""
"5301";"GM0766";"2018JJ00";"     274";"     379";"     232";"    44.8";"     390";"     2.6";"       .";"     2.1";"     7.5"
"5327";"GM0058";"2018JJ00";"      56";"      66";"     150";"    38.4";"     340";"     1.0";"       .";"     1.3";"    13.7"
"5353";"GM0315";"2018JJ00";"";"";"";"";"";"";"";"";""
"5379";"GM0505";"2018JJ00";"     228";"     701";"     173";"    40.4";"    1790";"     9.2";"       .";"     1.6";"     1.7"
"5405";"GM0498";"2018JJ00";"     157";"     139";"     244";"    47.3";"     200";"     1.4";"       .";"     1.6";"     3.4"
"5431";"GM0316";"2018JJ00";"";"";"";"";"";"";"";"";""
"5457";"GM1719";"2018JJ00";"      87";"     123";"     242";"    47.0";"     360";"     1.7";"       .";"     2.0";"     9.2"
"5483";"GM0303";"2018JJ00";"      80";"      51";"     206";"    43.8";"     620";"     1.4";"       .";"     1.4";"     5.3"
"5509";"GM0767";"2018JJ00";"";"";"";"";"";"";"";"";""
"5535";"GM0225";"2018JJ00";"      96";"     212";"     226";"    45.1";"     270";"     1.7";"       .";"     2.3";"    14.4"
"5561";"GM0662";"2018JJ00";"";"";"";"";"";"";"";"";""
"5587";"GM0226";"2018JJ00";"    -106";"     315";"     209";"    45.4";"     430";"     2.7";"       .";"     2.1";"     1.7"
"5613";"GM0768";"2018JJ00";"";"";"";"";"";"";"";"";""
"5639";"GM0769";"2018JJ00";"";"";"";"";"";"";"";"";""
"5665";"GM0112";"2018JJ00";"";"";"";"";"";"";"";"";""
"5691";"GM0902";"2018JJ00";"";"";"";"";"";"";"";"";""
"5717";"GM0227";"2018JJ00";"";"";"";"";"";"";"";"";""
"5743";"GM1711";"2018JJ00";"    -113";"     141";"     203";"    42.6";"     440";"     3.3";"       .";"     0.9";"     2.3"
"5769";"GM0385";"2018JJ00";"     146";"     275";"     252";"    51.8";"     310";"     3.2";"       .";"     1.4";"     9.5"
"5795";"GM0228";"2018JJ00";"    1028";"     151";"     244";"    45.2";"    1210";"     7.8";"       .";"     1.6";"     3.0"
"5821";"GM0113";"2018JJ00";"";"";"";"";"";"";"";"";""
"5847";"GM0317";"2018JJ00";"       1";"     123";"     322";"    50.3";"     140";"     5.4";"       .";"     1.1";"     7.0"
"5873";"GM1651";"2018JJ00";"    -142";"      39";"     145";"    36.7";"     220";"     1.5";"       .";"     0.7";"     1.5"
"5899";"GM0770";"2018JJ00";"     332";"      98";"     295";"    51.4";"     230";"     1.4";"       .";"     3.0";"    15.3"
"5925";"GM0357";"2018JJ00";"";"";"";"";"";"";"";"";""
"5951";"GM0229";"2018JJ00";"";"";"";"";"";"";"";"";""
"5977";"GM0905";"2018JJ00";"";"";"";"";"";"";"";"";""
"6003";"GM1903";"2018JJ00";"      92";"     144";"     245";"    48.4";"     310";"     1.9";"       .";"     1.4";"     4.2"
